"","station_name","station_id","station_operator","prov","lat","lon","elev","climate_id","WMO_id","TC_id","date","year","month","day","qual","cool_deg_days","cool_deg_days_flag","dir_max_gust","dir_max_gust_flag","heat_deg_days","heat_deg_days_flag","max_temp","max_temp_flag","mean_temp","mean_temp_flag","min_temp","min_temp_flag","snow_grnd","snow_grnd_flag","spd_max_gust","spd_max_gust_flag","total_precip","total_precip_flag","total_rain","total_rain_flag","total_snow","total_snow_flag"
"1","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-14,"2012","09","14",NA,1.4,NA,21,NA,0,NA,23.8,NA,19.4,NA,15,NA,NA,NA,33,NA,0,NA,0,NA,0,NA
"2","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-15,"2012","09","15",NA,0,NA,18,NA,0.2,NA,22.1,NA,17.8,NA,13.4,NA,NA,NA,44,NA,5,NA,5,NA,0,NA
"3","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-16,"2012","09","16",NA,0,NA,25,NA,5.3,NA,15.7,NA,12.7,NA,9.7,NA,NA,NA,46,NA,0,NA,0,NA,0,NA
"4","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-17,"2012","09","17",NA,0,NA,26,NA,3.3,NA,19.8,NA,14.7,NA,9.6,NA,NA,NA,44,NA,0,NA,0,NA,0,NA
"5","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-18,"2012","09","18",NA,0,NA,17,NA,3.1,NA,20.3,NA,14.9,NA,9.5,NA,NA,NA,52,NA,0,NA,0,NA,0,NA
"6","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-19,"2012","09","19",NA,0,NA,18,NA,0.9,NA,22.6,NA,17.1,NA,11.5,NA,NA,NA,65,NA,13.8,NA,13.8,NA,0,NA
"7","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-20,"2012","09","20",NA,0,NA,6,NA,5.1,NA,14.6,NA,12.9,NA,11.1,NA,NA,NA,41,NA,4,NA,4,NA,0,NA
"8","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-21,"2012","09","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-22,"2012","09","22",NA,3.2,NA,16,NA,0,NA,22.9,NA,21.2,NA,19.4,NA,NA,NA,41,NA,11.8,NA,11.8,NA,0,NA
"10","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-23,"2012","09","23",NA,0.1,NA,16,NA,0,NA,23.4,NA,18.1,NA,12.7,NA,NA,NA,43,NA,15.2,NA,15.2,NA,0,NA
"11","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-24,"2012","09","24",NA,0,NA,NA,NA,4.8,NA,18.4,NA,13.2,NA,7.9,NA,NA,NA,NA,NA,14.4,NA,14.4,NA,0,NA
"12","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-25,"2012","09","25",NA,0,NA,22,NA,4.3,NA,18.1,NA,13.7,NA,9.2,NA,NA,NA,50,NA,1.4,NA,1.4,NA,0,NA
"13","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-26,"2012","09","26",NA,0,NA,19,NA,2,NA,19.7,NA,16,NA,12.3,NA,NA,NA,52,NA,0.8,NA,0.8,NA,0,NA
"14","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-27,"2012","09","27",NA,0,NA,30,NA,5.8,NA,16.8,NA,12.2,NA,7.6,NA,NA,NA,41,NA,2.6,NA,2.6,NA,0,NA
"15","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-28,"2012","09","28",NA,0,NA,NA,NA,7.5,NA,15.4,NA,10.5,NA,5.5,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"16","CHARLOTTETOWN A","50621",NA,"PE",46.29,-63.12,50.9,"8300301","71706","YYG",2012-09-29,"2012","09","29",NA,0,NA,11,NA,7.2,NA,15.3,NA,10.8,NA,6.2,NA,NA,NA,52,NA,18.4,NA,18.4,NA,0,NA
