"","station_name","station_id","station_operator","prov","lat","lon","elev","climate_id","WMO_id","TC_id","date","year","month","day","qual","cool_deg_days","cool_deg_days_flag","dir_max_gust","dir_max_gust_flag","heat_deg_days","heat_deg_days_flag","max_temp","max_temp_flag","mean_temp","mean_temp_flag","min_temp","min_temp_flag","snow_grnd","snow_grnd_flag","spd_max_gust","spd_max_gust_flag","total_precip","total_precip_flag","total_rain","total_rain_flag","total_snow","total_snow_flag"
"1","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-01,"1872","04","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,0,NA,7.6,NA
"2","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-02,"1872","04","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,6.4,NA,0,NA
"3","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-03,"1872","04","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"4","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-04,"1872","04","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0,NA,0.3,NA
"5","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-05,"1872","04","05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"6","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-06,"1872","04","06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"7","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-07,"1872","04","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"8","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-08,"1872","04","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"9","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-09,"1872","04","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"C",0,"C",0,NA
"10","CHARLOTTETOWN","6525",NA,"PE",46.23,-63.17,13.7,"8300298",NA,NA,1872-04-10,"1872","04","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,"A",25.4,"A",0,NA
