UH#,GLOSS#,Location,Country,Latitude,Longitude,Start,End
1,115,Pohnpei,Micronesia,6.978,158.197,12/17/2001,7/31/2024
2,113,"Tarawa, Bairiki",Kiribati,1.362,172.93,12/4/1992,7/31/2024
3,169,Baltra,Ecuador,-0.435,-90.285,3/26/1985,8/31/2024
4,114,Nauru,Nauru,-0.532,166.91,7/8/1993,7/31/2024
5,112,Majuro,Marshall Islands,7.107,171.373,5/14/1993,7/31/2024
7,120,Malakal,Palau,7.33,134.463,5/19/1969,8/31/2024
8,119,Yap,Micronesia,9.508,138.128,5/11/1969,8/31/2024
9,66,Honiara,Solomon Islands,-9.425,159.957,7/28/1994,7/31/2024
11,146,Christmas,Kiribati,1.982,-157.472,2/7/1974,8/18/2024
13,145,Kanton,Kiribati,-2.81,-171.718,5/2/1972,6/30/2024
14,107,French Frigate,United States of America,23.867,-166.29,5/27/2007,8/31/2024
15,140,Papeete,France,-17.525,-149.567,6/9/1975,3/13/2024
16,138,Rikitea,France,-23.125,-134.953,4/1/2021,8/31/2024
17,,Hiva Oa,France,-9.81,-139.027,9/5/2010,8/31/2024
18,122,Suva,Fiji,-18.132,178.427,1/27/1998,7/31/2024
19,123,Noumea,France,-22.25,166.437,2/25/1967,8/31/2024
21,176,Juan Fernandez,Chile,-33.622,-78.833,9/5/1985,8/31/2024
22,137,Easter,Chile,-27.15,-109.448,4/3/1970,8/31/2024
23,139,Rarotonga,Cook Islands,-21.207,-159.775,2/20/1993,7/31/2024
24,143,Penrhyn,Cook Islands,-8.977,-158.053,4/17/1977,8/31/2024
25,121,Funafuti,Tuvalu,-8.525,179.195,3/24/1993,7/31/2024
28,118,Saipan,United States of America,15.227,145.742,9/19/1978,8/31/2024
29,117,Kapingamarangi,Micronesia,1.098,154.777,9/9/1978,8/31/2024
30,,Santa Cruz,Ecuador,-0.753,-90.312,10/20/1978,8/31/2024
31,142,Nuku Hiva,France,-8.93,-140.082,4/1/1982,5/10/2024
33,69,Bitung,Indonesia,1.438,125.19,9/3/2008,8/31/2024
34,161,Cabo San Lucas,Mexico,22.88,-109.908,6/13/1973,9/13/2014
35,177,San Felix,Chile,-26.283,-80.133,11/7/1987,6/21/2024
38,125,Nuku'alofa,Tonga,-21.133,-175.167,6/21/1990,7/31/2024
